title,Energy,Calories,Fat,Saturated Fat,Carbohydrate,Sugar,Dietary Fiber,Protein,Cholesterol,Sodium,prepTime,averageRating,ratingsCount,favoritesCount,Fish,Gluten free,British,American,Mexican,Italian,Seafood,Quick,Contains shellfish,Child friendly,Traditional,Crustacean,Veggie,Beef,Poultry,Pork,Vietnamese,Peanuts,Organic,Vegan,Rapid,Indonesian,Russian,German,Lebanese,European,Moroccan,Mediterranean,Middle eastern,Shellfish,Japanese,Carb Smart,Easy,Eat First,North African,maybe allergens,Burger,Korean,Asian,Spicy,Extra spicy,Family friendly,Latin,Chinese,Filipino,Hawaiian,Australian,Nordic,African,Fusion,Tree Nut,Peanut,Turkish,Greek,Indian,Under 30 Minutes,Molluscs,Milk,Egg,Dairy free,Thai,Spanish,Cuban,Caribbean,French,Irish,One Pan,One Pot,Chefs Choice,Sulphites,Soy,Traces of Egg,Traces of Nut,Wheat,Mustard,Sesame,Hall of Fame
OnePot Mexican Quinoa with Sweet Corn,3250.97,777,26,5,96,14,32,34,0,1066,30,1.4,259,3248,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Roasted Cauliflower Steaks with Bulgur,2092,500,26,4,56,11,15,21,0,320,35,1.3,401,2955,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edamame and Sweet Potato Rice Bowl,3418.33,817,33,7,112,13,16,24,0,656,35,0.9,281,1454,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Sausage Spaghetti Bolognese,3556,850,34,13,96,18,6,43,155,2150,35,3.7,4730,1164,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBQ Cheddar Pork Burgers,4435,1060,61,22,89,19,7,38,155,1300,35,3.6,3644,1130,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MozzarellaStuffed Little Italy Burgers,5146,1230,81,23,84,18,6,45,180,1230,30,3.6,8,1086,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrimp & Chorizo Paella,3473,830,37,9,81,9,5,38,270,2470,40,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Sausage & Broccoli Flatbreads,3222,770,33,10,74,15,5,42,140,1650,35,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gnocchi with Spinach & Tomatoes,2092,500,24,14,61,4,4,13,65,1240,20,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crispy MozzarellaCrusted Chicken,3012,720,39,16,52,6,5,44,165,520,30,4,5,55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
