calories,fat,saturated fat,carbohydrate,sugar,dietary fiber,protein,sodium,cholesterol,ratingscount,preptime,averagerating,garlic,stock,vegetable stock concentrate,tomatoes,olive oil,mexican,milk_allergic,gluten free,spicy,veggie,lemon,pepper,wheat,potatoes,onion,rice,vinegar,american,zucchini,chicken,pasta,chicken stock concentrate,cream,parmesan cheese,butter,italian,poultry,spice mix,pork,bread,oil,vegetable oil,eggs,shallot,roma tomato,beef,salad,honey,panko,lime,family friendly,fusion,nuts,scallions,cilantro,chicken breasts,parsley
1060,61,22,89,19,7,38,1300,155,3644,35,3.6,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,23,10,76,26,1,23,1390,75,521,10,3.6,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,44,15,68,12,7,33,620,110,23,30,3.8,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
550,25,12,50,5,2,32,410,115,13,25,3.8,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
920,48,23,54,11,7,63,1470,410,20,45,3.6,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
510,17,3,75,18,7,19,560,20,29,25,3.7,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
460,20,8,33,5,6,34,410,130,18,30,3.8,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,25,10,71,10,6,36,300,140,10,35,4,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
160,6,2.5,23,15,1,2,65,15,590,20,3.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,38,16,68,10,7,17,1050,65,771,35,3.5,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1030,68,27,41,5,6,54,950,240,28,40,3.9,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
720,40,18,51,15,8,38,500,165,12,30,3.8,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,31,15,89,14,6,22,970,65,15,35,4,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1040,41,16,133,18,16,25,840,65,1674,35,3.6,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1170,78,28,75,12,5,48,1410,210,21,35,3.8,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
870,52,24,55,14,10,46,790,185,372,45,3,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
740,22,10,93,21,5,41,890,150,452,30,3,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
